Departements;code_map;18 a 25 ans;26 a 50 ans;plus de 50 ans
Ain;fr-ara-ai;0,060078075;0,238716182;0,268949114
Aisne;fr-hdf-as;0,048738899;0,174565761;0,236535571
Allier;fr-ara-al;0,026587715;0,099868601;0,178949463
Alpes-de-Haute-Provence;fr-pac-ap;0,012477815;0,050680092;0,087933691
Hautes-Alpes;fr-pac-ha;0,010868209;0,045884996;0,071911822
Alpes-Maritimes;fr-pac-am;0,096841599;0,360087404;0,527224476
Ardèche;fr-ara-ah;0,025091636;0,103394671;0,167537225
Ardennes;fr-ges-an;0,023591061;0,087212067;0,126748563
Ariège;fr-occ-ag;0,012066421;0,047250688;0,080935505
Aube;fr-ges-ab;0,031015254;0,10358126;0,138611535
Aude;fr-occ-ad;0,029722624;0,115226171;0,194558814
Aveyron;fr-occ-av;0,02139921;0,084371653;0,150753266
Bouches-du-Rhône;fr-pac-bd;0,211203394;0,70651227;0,883647555
Calvados;fr-nor-cv;0,075410916;0,225388604;0,316776428
Cantal;fr-ara-cl;0,010532125;0,042356678;0,080996202
Charente;fr-naq-ct;0,029521423;0,109694838;0,180205
Charente-Maritime;fr-naq-cm;0,052803377;0,195809855;0,348079433
Cher;fr-cvl-ch;0,023909161;0,091637358;0,154982977
Corrèze;fr-naq-cz;0,01975476;0,073252786;0,128986499
Corse-du-Sud;fr-cor-cs;0,012232777;0,057704132;0,080340895
Haute-Corse;fr-cor-hc;0,017166128;0,063282673;0,08719633
Côte-d'Or;fr-bfc-co;0,06306124;0,179011284;0,236287162
Côtes-d'Armor;fr-bre-ca;0,048079095;0,180415193;0,309707427
Creuse;fr-naq-cr;0,008189655;0,032937339;0,068698232
Dordogne;fr-naq-dd;0,029582121;0,11904786;0,233554654
Doubs;fr-bfc-db;0,059492457;0,18640288;0,22719379
Drôme;fr-ara-dm;0,045478099;0,173557509;0,239355753
Eure;fr-nor-eu;0,053481165;0,207227713;0,260634693
Eure-et-Loir;fr-cvl-el;0,03683771;0,145635575;0,192163514
Finistère;fr-bre-fi;0,088129272;0,292063588;0,43770928
Gard;fr-occ-ga;0,067627035;0,240927142;0,360938292
Haute-Garonne;fr-occ-hg;0,182971228;0,533079528;0,521986514
Gers;fr-occ-ge;0,013370291;0,056910569;0,105401058
Gironde;fr-naq-gi;0,18895442;0,595734995;0,670732269
Hérault;fr-occ-he;0,135207984;0,399723939;0,518321065
Ille-et-Vilaine;fr-bre-iv;0,128825764;0,385956867;0,426828706
Indre;fr-cvl-in;0,017198724;0,06349399;0,120279793
Indre-et-Loire;fr-cvl-il;0,063281549;0,202067309;0,273042818
Isère;fr-ara-is;0,13690414;0,443394604;0,519850864
Jura;fr-bfc-ju;0,02154983;0,082727202;0,127475808
Landes;fr-naq-ld;0,030701651;0,134449267;0,211795755
Loir-et-Cher;fr-cvl-lc;0,0269519;0,103256416;0,164712547
Loire;fr-ara-lr;0,077585907;0,249292145;0,345270491
Haute-Loire;fr-ara-hl;0,01845651;0,072017481;0,114641677
Loire-Atlantique;fr-pdl-la;0,155432587;0,523392671;0,569768866
Loiret;fr-cvl-lt;0,068866835;0,233280392;0,291361072
Lot;fr-occ-lo;0,012182196;0,049523469;0,100886969
Lot-et-Garonne;fr-naq-lg;0,026751823;0,101764833;0,171977128
Lozère;fr-occ-lz;0,006707064;0,023725944;0,039690488
Maine-et-Loire;fr-pdl-ml;0,090616742;0,269044656;0,35395809
Manche;fr-nor-mh;0,040852731;0,152433685;0,251938102
Marne;fr-ges-mr;0,065085611;0,193655097;0,238215991
Haute-Marne;fr-ges-hm;0,014528038;0,052800005;0,087676289
Mayenne;fr-pdl-my;0,028027593;0,097656518;0,142058924
Meurthe-et-Moselle;fr-ges-mm;0,089453375;0,252532712;0,309161151
Meuse;fr-ges-ms;0,016005009;0,058705639;0,088735122
Morbihan;fr-bre-mb;0,06380085;0,236618749;0,381324755
Moselle;fr-ges-mo;0,099241395;0,364712772;0,468443527
Nièvre;fr-bfc-ni;0,015069819;0,05679367;0,114217919
Nord;fr-hdf-no;0,311275444;0,920063755;1
Oise;fr-hdf-oi;0,081088372;0,29713407;0,33130559
Orne;fr-nor-or;0,023308931;0,082867705;0,14489147
Pas-de-Calais;fr-hdf-pc;0,147485722;0,502062026;0,61277748
Puy-de-Dôme;fr-ara-pd;0,07170163;0,222069355;0,300934403
Pyrénées-Atlantiques;fr-naq-pa;0,060269159;0,226273213;0,335965803
Hautes-Pyrénées;fr-occ-hp;0,019065732;0,068189048;0,123079742
Pyrénées-Orientales;fr-occ-po;0,040544748;0,148550175;0,246075182
Bas-Rhin;fr-ges-br;0,129071925;0,403769309;0,481537308
Haut-Rhin;fr-ges-hr;0,070737215;0,268074622;0,340859813
Rhône;fr-ara-rh;0,241402605;0,693443218;0,692889073
Haute-Saône;fr-bfc-hn;0,019019647;0,075124289;0,1151059
Saône-et-Loire;fr-bfc-sl;0,043713378;0,168845591;0,284730442
Sarthe;fr-pdl-st;0,054063411;0,180092597;0,259215048
Savoie;fr-ara-sv;0,041082033;0,149551682;0,196302179
Haute-Savoie;fr-ara-hs;0,074643206;0,325851815;0,322006522
Paris;fr-idf-vp;0,29134084;0,909039306;0,808083771
Seine-Maritime;fr-nor-sm;0,133642216;0,421600861;0,537233929
Seine-et-Marne;fr-idf-se;0,153976973;0,53358534;0,514919761
Yvelines;fr-idf-yv;0,148253432;0,527511103;0,561188051
Deux-Sèvres;fr-naq-ds;0,031211959;0,119948205;0,181631389
Somme;fr-hdf-so;0,065812856;0,192005027;0,245048946
Tarn;fr-occ-ta;0,032552922;0,121838817;0,196220125
Tarn-et-Garonne;fr-occ-tg;0,022217501;0,087663925;0,120809209
Var;fr-pac-vr;0,088972292;0,342297442;0,549181203
Vaucluse;fr-pac-vc;0,05137474;0,18406603;0,261232675
Vendée;fr-pdl-vd;0,055475188;0,218529796;0,337112309
Vienne;fr-naq-vn;0,05195811;0,139826608;0,19944046
Haute-Vienne;fr-naq-hv;0,037621156;0,115437488;0,18486184
Vosges;fr-ges-vg;0,030580256;0,111953007;0,184254866
Yonne;fr-bfc-yo;0,026583219;0,105715785;0,166015294
Territoire de Belfort;fr-bfc-tb;0,014333582;0,048507349;0,061363961
Essonne;fr-idf-es;0,150280051;0,491466955;0,475318071
Hauts-de-Seine;fr-idf-hd;0,182385611;0,653363817;0,578048443
Seine-Saint-Denis;fr-idf-ss;0,194431799;0,675102483;0,511809581
Val-de-Marne;fr-idf-vm;0,165099212;0,546426215;0,504069537
Val-d'Oise;fr-idf-vo;0,138876806;0,47201231;0,427823469
Guadeloupe ;fr-gua-gp;0,034765005;0,118527436;0,179496863
Martinique ;fr-mq-mq;0,031120913;0,107687327;0,187590976
Guyane;fr-gf-gf;0,039990603;0,104730015;0,058865251
La Reunion;fr-lre-re;0,096250361;0,303652298;0,308526076
Mayotte;fr-may-yt;0,037001818;0,092573671;0,028216429
